Standard,Subject,Grade,Strand,Standard Number,Description,,,,
Iowa Core Standards: Math,Math,9,Vector & Matrix Quantities,HSN.VM.A,Represent and model with vector quantities.,,,,
Iowa Core Standards: Math,Math,10,Vector & Matrix Quantities,HSN.VM.A,Represent and model with vector quantities.,,,,
Iowa Core Standards: Math,Math,11,Vector & Matrix Quantities,HSN.VM.A,Represent and model with vector quantities.,,,,
Iowa Core Standards: Math,Math,12,Vector & Matrix Quantities,HSN.VM.A,Represent and model with vector quantities.,,,,
Iowa Core Standards: Math,Math,9,Vector & Matrix Quantities,HSN.VM.A.1,"(+) Recognize vector quantities as having both magnitude and direction. Represent vector quantities by directed line segments, and use appropriate symbols for vectors and their magnitudes (e.g., v, |v|, ||v||, v).",,,,
Iowa Core Standards: Math,Math,10,Vector & Matrix Quantities,HSN.VM.A.1,"(+) Recognize vector quantities as having both magnitude and direction. Represent vector quantities by directed line segments, and use appropriate symbols for vectors and their magnitudes (e.g., v, |v|, ||v||, v).",,,,
Iowa Core Standards: Math,Math,11,Vector & Matrix Quantities,HSN.VM.A.1,"(+) Recognize vector quantities as having both magnitude and direction. Represent vector quantities by directed line segments, and use appropriate symbols for vectors and their magnitudes (e.g., v, |v|, ||v||, v).",,,,
Iowa Core Standards: Math,Math,12,Vector & Matrix Quantities,HSN.VM.A.1,"(+) Recognize vector quantities as having both magnitude and direction. Represent vector quantities by directed line segments, and use appropriate symbols for vectors and their magnitudes (e.g., v, |v|, ||v||, v).",,,,
Iowa Core Standards: Math,Math,9,Vector & Matrix Quantities,HSN.VM.A.2,(+) Find the components of a vector by subtracting the coordinates of an initial point from the coordinates of a terminal point.,,,,
Iowa Core Standards: Math,Math,10,Vector & Matrix Quantities,HSN.VM.A.2,(+) Find the components of a vector by subtracting the coordinates of an initial point from the coordinates of a terminal point.,,,,
Iowa Core Standards: Math,Math,11,Vector & Matrix Quantities,HSN.VM.A.2,(+) Find the components of a vector by subtracting the coordinates of an initial point from the coordinates of a terminal point.,,,,
Iowa Core Standards: Math,Math,12,Vector & Matrix Quantities,HSN.VM.A.2,(+) Find the components of a vector by subtracting the coordinates of an initial point from the coordinates of a terminal point.,,,,
Iowa Core Standards: Math,Math,9,Vector & Matrix Quantities,HSN.VM.A.3,(+) Solve problems involving velocity and other quantities that can be represented by vectors.,,,,
Iowa Core Standards: Math,Math,10,Vector & Matrix Quantities,HSN.VM.A.3,(+) Solve problems involving velocity and other quantities that can be represented by vectors.,,,,
Iowa Core Standards: Math,Math,11,Vector & Matrix Quantities,HSN.VM.A.3,(+) Solve problems involving velocity and other quantities that can be represented by vectors.,,,,
Iowa Core Standards: Math,Math,12,Vector & Matrix Quantities,HSN.VM.A.3,(+) Solve problems involving velocity and other quantities that can be represented by vectors.,,,,
Iowa Core Standards: Math,Math,9,Vector & Matrix Quantities,HSN.VM.B,Perform operations on vectors.,,,,
Iowa Core Standards: Math,Math,10,Vector & Matrix Quantities,HSN.VM.B,Perform operations on vectors.,,,,
Iowa Core Standards: Math,Math,11,Vector & Matrix Quantities,HSN.VM.B,Perform operations on vectors.,,,,
Iowa Core Standards: Math,Math,12,Vector & Matrix Quantities,HSN.VM.B,Perform operations on vectors.,,,,
Iowa Core Standards: Math,Math,9,Vector & Matrix Quantities,HSN.VM.B.4,(+) Add and subtract vectors.,,,,
Iowa Core Standards: Math,Math,10,Vector & Matrix Quantities,HSN.VM.B.4,(+) Add and subtract vectors.,,,,
Iowa Core Standards: Math,Math,11,Vector & Matrix Quantities,HSN.VM.B.4,(+) Add and subtract vectors.,,,,
Iowa Core Standards: Math,Math,12,Vector & Matrix Quantities,HSN.VM.B.4,(+) Add and subtract vectors.,,,,
Iowa Core Standards: Math,Math,9,Vector & Matrix Quantities,HSN.VM.B.4a,"Add vectors end-to-end, component-wise, and by the parallelogram rule. Understand that the magnitude of a sum of two vectors is typically not the sum of the magnitudes.",,,,
Iowa Core Standards: Math,Math,10,Vector & Matrix Quantities,HSN.VM.B.4a,"Add vectors end-to-end, component-wise, and by the parallelogram rule. Understand that the magnitude of a sum of two vectors is typically not the sum of the magnitudes.",,,,
Iowa Core Standards: Math,Math,11,Vector & Matrix Quantities,HSN.VM.B.4a,"Add vectors end-to-end, component-wise, and by the parallelogram rule. Understand that the magnitude of a sum of two vectors is typically not the sum of the magnitudes.",,,,
Iowa Core Standards: Math,Math,12,Vector & Matrix Quantities,HSN.VM.B.4a,"Add vectors end-to-end, component-wise, and by the parallelogram rule. Understand that the magnitude of a sum of two vectors is typically not the sum of the magnitudes.",,,,
Iowa Core Standards: Math,Math,9,Vector & Matrix Quantities,HSN.VM.B.4b,"Given two vectors in magnitude and direction form, determine the magnitude and direction of their sum.",,,,
Iowa Core Standards: Math,Math,10,Vector & Matrix Quantities,HSN.VM.B.4b,"Given two vectors in magnitude and direction form, determine the magnitude and direction of their sum.",,,,
Iowa Core Standards: Math,Math,11,Vector & Matrix Quantities,HSN.VM.B.4b,"Given two vectors in magnitude and direction form, determine the magnitude and direction of their sum.",,,,
Iowa Core Standards: Math,Math,12,Vector & Matrix Quantities,HSN.VM.B.4b,"Given two vectors in magnitude and direction form, determine the magnitude and direction of their sum.",,,,
Iowa Core Standards: Math,Math,9,Vector & Matrix Quantities,HSN.VM.B.4c,"Understand vector subtraction v - w as v + (-w), where -w is the additive inverse of w, with the same magnitude as w and pointing in the opposite direction. Represent vector subtraction graphically by connecting the tips in the appropriate order, and perform vector subtraction component-wise.",,,,
Iowa Core Standards: Math,Math,10,Vector & Matrix Quantities,HSN.VM.B.4c,"Understand vector subtraction v - w as v + (-w), where -w is the additive inverse of w, with the same magnitude as w and pointing in the opposite direction. Represent vector subtraction graphically by connecting the tips in the appropriate order, and perform vector subtraction component-wise.",,,,
Iowa Core Standards: Math,Math,11,Vector & Matrix Quantities,HSN.VM.B.4c,"Understand vector subtraction v - w as v + (-w), where -w is the additive inverse of w, with the same magnitude as w and pointing in the opposite direction. Represent vector subtraction graphically by connecting the tips in the appropriate order, and perform vector subtraction component-wise.",,,,
Iowa Core Standards: Math,Math,12,Vector & Matrix Quantities,HSN.VM.B.4c,"Understand vector subtraction v - w as v + (-w), where -w is the additive inverse of w, with the same magnitude as w and pointing in the opposite direction. Represent vector subtraction graphically by connecting the tips in the appropriate order, and perform vector subtraction component-wise.",,,,
Iowa Core Standards: Math,Math,9,Vector & Matrix Quantities,HSN.VM.B.5,(+) Multiply a vector by a scalar.,,,,
Iowa Core Standards: Math,Math,10,Vector & Matrix Quantities,HSN.VM.B.5,(+) Multiply a vector by a scalar.,,,,
Iowa Core Standards: Math,Math,11,Vector & Matrix Quantities,HSN.VM.B.5,(+) Multiply a vector by a scalar.,,,,
Iowa Core Standards: Math,Math,12,Vector & Matrix Quantities,HSN.VM.B.5,(+) Multiply a vector by a scalar.,,,,
Iowa Core Standards: Math,Math,9,Vector & Matrix Quantities,HSN.VM.B.5a,"Represent scalar multiplication graphically by scaling vectors and possibly reversing their direction; perform scalar multiplication component-wise, e.g., as c(v<sub>x</sub>, v<sub>y</sub>) = (cv<sub>x</sub>, cv<sub>y</sub>).",,,,
Iowa Core Standards: Math,Math,10,Vector & Matrix Quantities,HSN.VM.B.5a,"Represent scalar multiplication graphically by scaling vectors and possibly reversing their direction; perform scalar multiplication component-wise, e.g., as c(v<sub>x</sub>, v<sub>y</sub>) = (cv<sub>x</sub>, cv<sub>y</sub>).",,,,
Iowa Core Standards: Math,Math,11,Vector & Matrix Quantities,HSN.VM.B.5a,"Represent scalar multiplication graphically by scaling vectors and possibly reversing their direction; perform scalar multiplication component-wise, e.g., as c(v<sub>x</sub>, v<sub>y</sub>) = (cv<sub>x</sub>, cv<sub>y</sub>).",,,,
Iowa Core Standards: Math,Math,12,Vector & Matrix Quantities,HSN.VM.B.5a,"Represent scalar multiplication graphically by scaling vectors and possibly reversing their direction; perform scalar multiplication component-wise, e.g., as c(v<sub>x</sub>, v<sub>y</sub>) = (cv<sub>x</sub>, cv<sub>y</sub>).",,,,
Iowa Core Standards: Math,Math,9,Vector & Matrix Quantities,HSN.VM.B.5b,"Compute the magnitude of a scalar multiple cv using ||cv|| = |c|v. Compute the direction of cv knowing that when |c|v ? 0, the direction of cv is either along v (for c > 0) or against v (for c < 0).",,,,
