Standard,Subject,Grade,Strand,Standard Number,Description,,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.1.b,Provide logically ordered reasons that are supported by facts and details.,,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.1.c,"Link opinion and reasons using words, phrases, and clauses (e.g., consequently, specifically).",,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.1.d,Provide a concluding statement or section related to the opinion presented.,,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.2,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.,,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.2.a,"Introduce a topic clearly, provide a general observation and focus, and group related information logically; include formatting (e.g., headings), illustrations, and multimedia to aid in comprehension, if needed.",,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.2.b,"Develop the topic with facts, definitions, concrete details, quotations, or other information and examples related to the topic.",,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.2.c,"Link ideas within and across categories of information using words, phrases, and clauses (e.g., in contrast, especially).",,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.2.d,Use precise language and domain-specific vocabulary to inform about or explain the topic.,,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.2.e,Provide a concluding statement or section related to the information or explanation presented.,,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.3,"Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences.",,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.3.a,Orient the reader by establishing a situation and introducing a narrator and/or characters; organize an event sequence that unfolds naturally.,,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.3.b,"Use narrative techniques, such as dialogue, description, and pacing, to develop experiences and events or show the responses of characters to situations.",,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.3.c,"Use a variety of transitional words, phrases, and clauses to manage the sequence of events.",,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.3.d,Use concrete words and phrases and sensory details to convey experiences and events precisely.,,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.3.e,Provide a conclusion that follows from the narrated experiences or events.,,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.1,Write arguments to support claims with clear reasons and relevant evidence.,,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.1.a,Establish a thesis statement to present an argument.,,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.1.b,Introduce claim(s) and organize the reasons and evidence clearly.,,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.1.c,"Support claim(s) with clear reasons and relevant evidence, using credible sources and demonstrating an understanding of the topic or text.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.1.d,"Use words, phrases, and clauses to clarify the relationships among claim(s) and reasons.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.1.e,Establish and maintain a formal style.,,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.1.f,Provide a concluding statement or section that follows from the argument presented.,,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.2,"Write informative/explanatory texts to examine a topic and convey ideas, concepts, and information through the selection, organization, and analysis of relevant content.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.2.a,Establish a thesis statement to present information.,,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.2.b,"Introduce a topic; organize ideas, concepts,and information, using strategies such as definition, classification, comparison/contrast, and cause/effect; include formatting (e.g., headings), graphics (e.g., charts, tables), and multimedia to aid comprehension, if needed.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.2.c,"Develop the topic with relevant facts, definitions, concrete details, quotations, or other information and examples.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.2.d,Use appropriate transitions to clarify the relationships among ideas and concepts.,,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.2.e,Use precise language and domain-specific vocabulary to inform about or explain the topic.,,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.2.f,Establish and maintain a formal style.,,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.2.g,Provide a concluding statement or section that follows from the information or explanation presented.,,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.3,"Write narratives to develop real or imagined experiences or events using effective technique, relevant descriptive details, and well-structured event sequences.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.3.a,Engage and orient the reader by establishing a context and introducing a narrator and/or characters; organize an event sequence that unfolds naturally and logically.,,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.3.b,"Use narrative techniques, such as dialogue, pacing, and description, to develop experiences, events, and/or characters.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.3.c,"Use a variety of transition words, phrases, and clauses to convey sequence and signal shifts from one time frame or setting to another.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.3.d,"Use precise words and phrases, relevant descriptive details, and sensory language to convey experiences and events.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.3.e,Provide a conclusion that follows from the narrated experiences or events.,,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.1,Write arguments to support claims with clear reasons and relevant evidence.,,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.1.a,Establish a thesis statement to present an argument.,,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.1.b,"Introduce claim(s), acknowledge alternate or opposing claims, and organize the reasons and evidence logically.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.1.c,"Support claim(s) with logical reasoning and relevant evidence, using accurate, credible sources and demonstrating an understanding of the topic or text.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.1.d,"Use words, phrases, and clauses to create cohesion and clarify the relationships among claim(s), reasons, and evidence.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.1.e,Establish and maintain a formal style.,,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.1.f,Provide a concluding statement or section that follows from and supports the argument presented.,,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.2,"Write informative/explanatory texts to examine a topic and convey ideas, concepts, and information through the selection, organization, and analysis of relevant content.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.2.a,Establish a thesis statement to present information.,,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.2.b,"Introduce a topic clearly, previewing what is to follow; organize ideas, concepts, and information, using strategies such as definition, classification, comparison/contrast, and cause/effect; include formatting (e.g.,headings), graphics (e.g., charts, tables), and multimedia when useful to aiding comprehension.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.2.c,"Develop the topic with relevant facts, definitions, concrete details, quotations, or other information and examples.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.2.d,Use appropriate transitions to create cohesion and clarify the relationships among ideas and concepts.,,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.2.e,Use precise language and domain-specific vocabulary to inform about or explain the topic.,,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.2.f,Establish and maintain a formal style.,,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.2.g,Provide a concluding statement or section that follows from and supports the information or explanation presented.,,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.3,"Write narratives to develop real or imagined experiences or events using effective technique, relevant descriptive details, and well-structured event sequences.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.3.a,Engage and orient the reader by establishing a context and point of view and introducing a narrator and/or characters; organize an event sequence that unfolds naturally and logically.,,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.3.b,"Use narrative techniques, such as dialogue, pacing, and description, to develop experiences, events, and/or characters.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.3.c,"Use a variety of transition words, phrases, and clauses to convey sequence and signal shifts from one time frame or setting to another.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.3.d,"Use precise words and phrases, relevant descriptive details, and sensory language to capture the action and convey experiences and events.",,,,,,
